title,start_time,end_time
"Solo Boys Kinder Sichtungsrunde – 4 corners – jeder 1 entry",2025-07-05 9:30:00,2025-07-05 10:05:00
"Solo Boys Junioren1 Sichtungsrunde – 4 corners – jeder 1 entry",2025-07-05 10:05:00,2025-07-05 10:20:00
"Solo Boys Junioren2 Sichtungsrunde – 4 corners – jeder 1 entry",2025-07-05 10:20:00,2025-07-05 10:30:00
"Solo Girls Kinder Sichtungsrunde – 4 corners – jeder 1 entry",2025-07-05 10:30:00,2025-07-05 10:40:00
"Solo Girls Junioren1 Sichtungsrunde – 4 corners – jeder 1 entry",2025-07-05 10:40:00,2025-07-05 10:45:00
"Solo Girls Junioren2 Sichtungsrunde – 4 corners – jeder 1 entry",2025-07-05 10:45:00,2025-07-05 10:50:00
"Solo Girls Erwachsene Sichtungsrunde – 4 corners – jeder 1 entry",2025-07-05 10:45:00,2025-07-05 10:50:00
"Solo Girls Kinder Viertelfinale Battles 4x2 – je 2x",2025-07-05 10:50:00,2025-07-05 11:00:00
"Solo Girls Kinder Halbfinale Battles 2x2 – je 2x",2025-07-05 11:00:00,2025-07-05 11:10:00
"Solo Boys Junioren2 Halbfinale Battles 2x2 - je 2x ",2025-07-05 11:10:00,2025-07-05 11:15:00
"Solo Girls Junioren1 FINALE Battle um Platz ½ – je 2x",2025-07-05 11:15:00,2025-07-05 11:20:00
"Solo Boys Junioren2 FINALE Battle um Platz ¾ + ½ - je 2x",2025-07-05 11:20:00,2025-07-05 11:30:00
"Solo Girls Erwachsene FINALE Battle um Platz ½ - je 2x",2025-07-05 11:30:00,2025-07-05 11:35:00
"Solo Girls Kinder FINALE Battle um Platz ¾ + ½ – je 2x",2025-07-05 11:35:00,2025-07-05 11:45:00
"Siegerehrungen",2025-07-05 11:45:00,2025-07-05 11:55:00
"Crews Kinder Sichtungsrunde (Show)",2025-07-05 11:55:00,2025-07-05 12:05:00
"Crews Erwachsene Sichtungsrunde (Show)",2025-07-05 12:05:00,2025-07-05 12:10:00
"Crews Kinder FINALE Battle um Platz ½",2025-07-05 12:10:00,2025-07-05 12:20:00
"Crews Erwachsene FINALE Battle um Platz ½",2025-07-05 12:20:00,2025-07-05 12:30:00
"Siegerehrungen",2025-07-05 12:30:00,2025-07-05 12:40:00
"Powermove Workshop 20€",2025-07-05 12:40:00,2025-07-05 13:30:00
"2vs2 Sichtungsrunde Ki (5) J1 (1) J2 (2) Erw.(2) jeweils jeder Tänzer 1 Entry",2025-07-05 13:30:00,2025-07-05 13:45:00
"2vs2 FINALE Battle Ki. um Platz ¾ + ½",2025-07-05 13:45:00,2025-07-05 13:55:00
"2vs2 FINALE Battles J2 um Platz ½",2025-07-05 13:55:00,2025-07-05 14:00:00
"Siegerehrungen",2025-07-05 14:05:00,2025-07-05 14:15:00
"Solo Boys Kinder Achtelfinale Battles 8x2 - je 2x",2025-07-05 14:15:00,2025-07-05 14:40:00
"Solo Boys Kinder Viertelfinale Battles 4x2 - je 2x",2025-07-05 14:40:00,2025-07-05 14:50:00
"Solo Boys Erwachsene Sichtungsrunde – 4 corners – jeder 1 entry",2025-07-05 14:50:00,2025-07-05 15:00:00
"Solo Boys Erwachsene2",2025-07-05 15:00:00,2025-07-05 15:05:00
"Solo Boys Junioren1 Viertelfinale Battles 4x2 – je 2x",2025-07-05 15:05:00,2025-07-05 15:20:00
"Solo Boys Erwachsene Viertelfinale Battles 4x2 – je 2x",2025-07-05 15:20:00,2025-07-05 15:30:00
"Solo Boys Kinder Halbfinale Battles 2x2 - je 2x",2025-07-05 15:30:00,2025-07-05 15:40:00
"Solo Boys Junioren1 Viertelfinale Battles 4x2 – je 2x",2025-07-05 15:40:00,2025-07-05 15:50:00
"Solo Boys Erwachsene Viertelfinale Battles 4x2 – je 2x",2025-07-05 15:50:00,2025-07-05 15:55:00
"Solo Boys Kinder FINALE Battle um Platz ¾ + ½ - je 2x",2025-07-05 15:55:00,2025-07-05 16:05:00
"Solo Boys Junioren1 FINALE Battle um Platz ¾ + ½ - je 2x",2025-07-05 16:05:00,2025-07-05 16:15:00
"Solo Boys Erwachsene FINALE Battle um Platz ¾ + ½ - je 2x",2025-07-05 16:15:00,2025-07-05 16:20:00
"Siegerehrungen",2025-07-05 16:20:00,2025-07-05 16:25:00
"Workshop mit dem Weltmeister „B-Boy Joe“ 20€",2025-07-05 16:20:00,2025-07-05 16:25:00